Timestamp,Emotion,Confidence
00-00-08.343,angry,"{'angry': 99.79203033447266, 'disgust': 0.0009453774546273053, 'fear': 0.19551508128643036, 'happy': 0.006796721369028091, 'sad': 0.004503791220486164, 'surprise': 0.00018536609422881156, 'neutral': 1.7765039956429973e-05}"
00-00-08.677,angry,"{'angry': 99.05705261230469, 'disgust': 0.00017839895735960454, 'fear': 0.11594300717115402, 'happy': 0.7319391369819641, 'sad': 0.09452778100967407, 'surprise': 3.633640062616905e-06, 'neutral': 0.00035313997068442404}"
00-00-09.011,angry,"{'angry': 99.99932098388672, 'disgust': 1.2831913309696574e-10, 'fear': 9.073376713786274e-05, 'happy': 7.878605538280681e-05, 'sad': 0.0005096117383800447, 'surprise': 6.101493550854376e-13, 'neutral': 2.6939472874687453e-10}"
00-00-09.345,angry,"{'angry': 99.97032165527344, 'disgust': 1.0329681288112624e-07, 'fear': 0.0046320222318172455, 'happy': 0.0045510162599384785, 'sad': 0.020495600998401642, 'surprise': 4.863580892189301e-12, 'neutral': 1.3158849299088615e-07}"
00-00-09.678,angry,"{'angry': 99.96607208251953, 'disgust': 0.0004969803267158568, 'fear': 0.010291705839335918, 'happy': 0.007943886332213879, 'sad': 0.015161264687776566, 'surprise': 7.111717650332139e-07, 'neutral': 3.561647463357076e-05}"
00-00-10.012,angry,"{'angry': 99.97394561767578, 'disgust': 0.0006706106942147017, 'fear': 0.013900021091103554, 'happy': 0.002650961047038436, 'sad': 0.008717752993106842, 'surprise': 6.74258853905485e-06, 'neutral': 0.0001044449454639107}"
00-00-10.346,angry,"{'angry': 99.97144317626953, 'disgust': 1.258789961156026e-09, 'fear': 0.0073704044334590435, 'happy': 0.0013099685311317444, 'sad': 0.019868463277816772, 'surprise': 9.545959671602294e-16, 'neutral': 6.4226908236264535e-09}"
00-00-10.679,angry,"{'angry': 99.9947280883789, 'disgust': 9.035012737967918e-10, 'fear': 0.004842119757086039, 'happy': 0.0002801366208586842, 'sad': 0.00015236774925142527, 'surprise': 7.667066444618301e-14, 'neutral': 1.6299761887439423e-11}"
00-00-11.013,angry,"{'angry': 99.998779296875, 'disgust': 5.88899805656351e-13, 'fear': 0.0011833787430077791, 'happy': 1.1566638022486586e-05, 'sad': 1.3273564945848193e-05, 'surprise': 3.6542315939684655e-14, 'neutral': 3.2884491570767116e-12}"
00-00-11.347,sad,"{'angry': 0.06329605728387833, 'disgust': 2.621345913667028e-07, 'fear': 0.33388951420783997, 'happy': 0.016151241958141327, 'sad': 96.4733657836914, 'surprise': 0.0014589335769414902, 'neutral': 3.1118381023406982}"
00-00-11.681,neutral,"{'angry': 0.011037328280508518, 'disgust': 7.478934804794335e-09, 'fear': 0.9163540005683899, 'happy': 0.007898938842117786, 'sad': 0.7577844858169556, 'surprise': 0.10245892405509949, 'neutral': 98.20447540283203}"
00-00-12.014,fear,"{'angry': 21.394672393798828, 'disgust': 0.20067240297794342, 'fear': 64.10962677001953, 'happy': 0.8342337608337402, 'sad': 0.1871405988931656, 'surprise': 13.182427406311035, 'neutral': 0.09123322367668152}"
00-00-12.348,angry,"{'angry': 72.16693115234375, 'disgust': 0.8020951747894287, 'fear': 24.427635192871094, 'happy': 1.4940271377563477, 'sad': 0.04439154267311096, 'surprise': 1.0511027574539185, 'neutral': 0.013818603940308094}"
00-00-12.682,angry,"{'angry': 90.52819061279297, 'disgust': 0.5154762268066406, 'fear': 7.782288074493408, 'happy': 0.39103734493255615, 'sad': 0.5928465127944946, 'surprise': 0.1418355405330658, 'neutral': 0.04832598567008972}"
00-00-13.016,fear,"{'angry': 18.795793533325195, 'disgust': 1.2207930088043213, 'fear': 70.2552490234375, 'happy': 1.3282712697982788, 'sad': 1.8094513416290283, 'surprise': 5.908851146697998, 'neutral': 0.6815849542617798}"
